Product Name,Unit,Sub Unit,Conversion Unit Rate,Stock,Tax,MRP(optional),Sale Margin(optional),Purchase Margin(optional),Sale Price,Sale Tax,Purchased Price,Purchase Tax,Description,Brand,Category,Sub Category,Barcode,Type,Product Code,HSNC/GTIN/UPC/EAN/JAN/ISBN,Batch No,Bin Location
p65,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p66,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p67,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p68,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p69,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p70,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p71,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p72,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p73,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p74,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p75,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p76,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p77,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p78,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p79,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p80,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p81,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p82,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p83,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p84,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p85,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p86,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p87,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p88,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p89,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p90,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p91,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p92,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p93,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p94,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p95,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p96,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p97,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p98,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p99,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p100,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p101,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p102,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p103,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p104,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p105,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p106,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p107,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p108,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p109,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p110,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p111,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p112,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p113,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p114,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p115,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p116,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p117,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p118,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p119,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p120,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p121,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p122,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p123,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p124,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p125,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p126,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p127,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p128,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p129,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p130,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p131,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p132,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p133,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p134,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p135,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p136,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p137,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p138,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p139,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p140,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p141,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p142,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p143,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p144,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p145,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p146,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p147,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p148,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p149,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p150,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p151,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p152,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p153,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p154,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p155,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p156,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p157,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p158,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p159,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p160,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p161,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p162,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p163,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p164,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p165,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p166,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p167,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p168,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p169,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p170,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p171,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p172,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p173,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p174,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p175,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p176,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p177,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p178,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p179,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p180,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p181,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p182,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p183,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p184,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p185,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p186,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p187,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p188,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p189,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p190,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p191,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p192,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p193,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p194,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p195,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p196,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p197,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p198,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p199,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p200,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p201,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p202,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p203,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p204,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p205,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p206,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p207,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p208,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p209,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p210,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p211,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p212,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p213,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p214,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p215,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
